Execution_code,Message,user_friendly_time,time"1610642970.901249","Start","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249","Opened all files","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249","Running: agent.py","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249","- Inizialize files","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249","- Inizialized csv_unchecked2","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249","- Run core","2021-01-14 17:49:30.912108","1610642970.912108"
"1610642970.901249"," - My PC, debug option","2021-01-14 17:49:35.271927","1610642975.271927"
"1610642970.901249","Unchecked PC updated","2021-01-14 17:49:35.271927","1610642975.271927"
"1610642970.901249","End time","2021-01-14 17:49:35.272932","1610642975.272932"
"1610642970.901249","Total time: 0:00:04.371683","2021-01-14 17:49:35.272932","1610642975.272932"
"1610643035.522498","Start","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498","Opened all files","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498","Running: agent.py","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498","- Inizialize files","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498","- Inizialized csv_unchecked2","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498","- Run core","2021-01-14 17:50:35.533470","1610643035.53347"
"1610643035.522498"," - My PC, debug option","2021-01-14 17:50:39.867188","1610643039.867188"
"1610643035.522498","Unchecked PC updated","2021-01-14 17:50:39.867188","1610643039.867188"
"1610643035.522498","End time","2021-01-14 17:50:39.868184","1610643039.868184"
"1610643035.522498","Total time: 0:00:04.345686","2021-01-14 17:50:39.868184","1610643039.868184"
