"message,"date-time","tick"
"Secret body elaborated","2021-01-26 17:14:12.226146","1611677652.226146"
"Secret elaborated","2021-01-26 17:14:12.226146","1611677652.226146"
"Converted array into csv","2021-01-26 17:14:12.226146","1611677652.226146"
"Converted array into csv","2021-01-26 17:14:12.226146","1611677652.226146"
"Converted array into csv","2021-01-26 17:14:12.226146","1611677652.226146"
"Converted array into csv","2021-01-26 17:14:12.226146","1611677652.226146"
"Writed outputs","2021-01-26 17:14:12.226146","1611677652.226146"
"End","2021-01-26 17:14:12.226146","1611677652.226146"
"Start","2021-01-26 17:14:45.271330","1611677685.27133"
"Log inizialized","2021-01-26 17:14:45.271330","1611677685.27133"
"Readed configuration file","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted csv into array","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted csv into array","2021-01-26 17:14:45.271330","1611677685.27133"
"Readed input(s) file","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted csv into array","2021-01-26 17:14:45.271330","1611677685.27133"
"Load users IDs","2021-01-26 17:14:45.271330","1611677685.27133"
"Getted all position where delete","2021-01-26 17:14:45.271330","1611677685.27133"
"Secret header elaborated","2021-01-26 17:14:45.271330","1611677685.27133"
"Secret body elaborated","2021-01-26 17:14:45.271330","1611677685.27133"
"Secret elaborated","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted array into csv","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted array into csv","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted array into csv","2021-01-26 17:14:45.271330","1611677685.27133"
"Converted array into csv","2021-01-26 17:14:45.271330","1611677685.27133"
"Writed outputs","2021-01-26 17:14:45.271330","1611677685.27133"
"End","2021-01-26 17:14:45.271330","1611677685.27133"
"Start","2021-01-26 17:16:43.742903","1611677803.742903"
"Log inizialized","2021-01-26 17:16:43.742903","1611677803.742903"
"Readed configuration file","2021-01-26 17:16:43.742903","1611677803.742903"
"Start","2021-01-26 17:17:50.382544","1611677870.382544"
"Log inizialized","2021-01-26 17:17:50.382544","1611677870.382544"
"Readed configuration file","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted csv into array","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted csv into array","2021-01-26 17:17:50.382544","1611677870.382544"
"Readed input(s) file","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted csv into array","2021-01-26 17:17:50.382544","1611677870.382544"
"Load users IDs","2021-01-26 17:17:50.382544","1611677870.382544"
"Getted all position where delete","2021-01-26 17:17:50.382544","1611677870.382544"
"Secret header elaborated","2021-01-26 17:17:50.382544","1611677870.382544"
"Secret body elaborated","2021-01-26 17:17:50.382544","1611677870.382544"
"Secret elaborated","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted array into csv","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted array into csv","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted array into csv","2021-01-26 17:17:50.382544","1611677870.382544"
"Converted array into csv","2021-01-26 17:17:50.382544","1611677870.382544"
"Writed outputs","2021-01-26 17:17:50.382544","1611677870.382544"
"End","2021-01-26 17:17:50.382544","1611677870.382544"
"Start","2021-01-26 17:18:36.632924","1611677916.632924"
"Log inizialized","2021-01-26 17:18:36.632924","1611677916.632924"
"Readed configuration file","2021-01-26 17:18:36.632924","1611677916.632924"
"Converted csv into array","2021-01-26 17:18:36.632924","1611677916.632924"
