#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Hostname","ClientId","IPAddress"
"WKS0247.marconi.edu","90-1b-0e-4a-8b-e7","172.16.0.247"
"WKS0275.marconi.edu","90-1b-0e-65-a6-d9","172.16.1.19"
"WKS0280.marconi.edu","90-1b-0e-4c-d9-11","172.16.1.24"
"WKS0293.marconi.edu","90-1b-0e-4b-f2-54","172.16.1.37"
"WKS0304.marconi.edu","90-1b-0e-2d-98-04","172.16.1.48"
"WKS0310.marconi.edu","90-1b-0e-3d-9a-31","172.16.1.54"
"WKS0355.marconi.edu","90-1b-0e-85-5f-1a","172.16.1.99"
"WKS0653.marconi.edu","b4-a9-fc-9d-5c-9d","172.16.2.141"
"WKS0645.marconi.edu","b4-a9-fc-9d-5e-73","172.16.2.142"
"WKS0656.marconi.edu","b4-a9-fc-9d-5f-d5","172.16.2.144"
"WKS0658.marconi.edu","b4-a9-fc-9d-92-9a","172.16.2.146"
"WKS0659.marconi.edu","b4-a9-fc-9d-5e-03","172.16.2.147"
"WKS0660.marconi.edu","b4-a9-fc-9d-60-1d","172.16.2.148"
"WKS0661.marconi.edu","b4-a9-fc-9d-57-29","172.16.2.149"
"WKS0662.marconi.edu","b4-a9-fc-9d-5f-d6","172.16.2.150"
"WKS0663.marconi.edu","b4-a9-fc-9d-93-44","172.16.2.151"
"WKS0664.marconi.edu","b4-a9-fc-9d-8d-d6","172.16.2.152"
"WKS0665.marconi.edu","b4-a9-fc-9d-5e-41","172.16.2.153"
"WKS0666.marconi.edu","b4-a9-fc-9d-5e-31","172.16.2.154"
"WKS0667.marconi.edu","b4-a9-fc-9d-5e-0c","172.16.2.155"
"WKS0668.marconi.edu","b4-a9-fc-9d-5e-2a","172.16.2.156"
"WKS0669.marconi.edu","b4-a9-fc-9d-93-54","172.16.2.157"
"WKS0670.marconi.edu","b4-a9-fc-9d-5e-9a","172.16.2.158"
"WKS0673.marconi.edu","b4-a9-fc-9d-5d-d3","172.16.2.161"
"WKS0674.marconi.edu","b4-a9-fc-9d-60-81","172.16.2.162"
"WKS0675.marconi.edu","b4-a9-fc-9d-60-7d","172.16.2.163"
"WKS0676.marconi.edu","b4-a9-fc-9d-5f-b0","172.16.2.164"
"WKS0677.marconi.edu","b4-a9-fc-9d-5f-ae","172.16.2.165"
"WKS0678.marconi.edu","b4-a9-fc-9d-60-75","172.16.2.166"
"WKS0679.marconi.edu","b4-a9-fc-9d-5e-08","172.16.2.167"
"WKS0680.marconi.edu","b4-a9-fc-9d-60-78","172.16.2.168"
"WKS0681.marconi.edu","b4-a9-fc-9d-5d-b8","172.16.2.169"
"WKS0682.marconi.edu","b4-a9-fc-9d-5d-ae","172.16.2.170"
"WKS0683.marconi.edu","b4-a9-fc-7d-13-02","172.16.2.171"
"WKS0684.marconi.edu","b4-a9-fc-7c-88-b8","172.16.2.172"
"WKS0685.marconi.edu","b4-a9-fc-7c-9e-fb","172.16.2.173"
"WKS0686.marconi.edu","b4-a9-fc-7d-15-0c","172.16.2.174"
"WKS0688.marconi.edu","b4-a9-fc-7c-8b-3d","172.16.2.176"
"WKS0689.marconi.edu","b4-a9-fc-7d-13-1b","172.16.2.177"
"WKS0690.marconi.edu","b4-a9-fc-7d-13-1c","172.16.2.178"
"WKS0692.marconi.edu","e8-6a-64-aa-f3-68","172.16.2.180"
"WKS0693.marconi.edu","f8-75-a4-6b-3b-a1","172.16.2.181"
"WKS0694.marconi.edu","b4-a9-fc-7d-16-32","172.16.2.182"
"WKS0695.marconi.edu","b4-a9-fc-7c-e0-1a","172.16.2.183"
"WKS0696.marconi.edu","b4-a9-fc-7c-e0-4d","172.16.2.184"
"WKS0697.marconi.edu","00-0e-c6-a0-1d-11","172.16.2.185"
"WKS0699.marconi.edu","b4-a9-fc-7c-e2-e0","172.16.2.187"
"WKS0701.marconi.edu","b4-a9-fc-7d-15-51","172.16.2.189"
"WKS0702.marconi.edu","f8-75-a4-e1-16-0c","172.16.2.190"
"WKS0703.marconi.edu","f8-75-a4-e1-16-26","172.16.2.191"
"WKS0705.marconi.edu","f8-75-a4-e1-16-aa","172.16.2.193"
"WKS0706.marconi.edu","f8-75-a4-e1-1d-8c","172.16.2.194"
"WKS0707.marconi.edu","b4-a9-fc-6e-2b-97","172.16.2.195"
"WKS0708.marconi.edu","b4-a9-fc-6e-23-8a","172.16.2.196"
"WKS0709.marconi.edu","b4-a9-fc-a6-ae-3d","172.16.2.197"
"WKS0710.marconi.edu","b4-a9-fc-6e-2b-6d","172.16.2.198"
"WKS0711.marconi.edu","b4-a9-fc-6e-2c-f0","172.16.2.199"
"WKS0712.marconi.edu","b4-a9-fc-6e-23-4e","172.16.2.200"
"WKS0713.marconi.edu","b4-a9-fc-6e-27-93","172.16.2.201"
"WKS0714.marconi.edu","b4-a9-fc-6e-23-93","172.16.2.202"
"WKS0715.marconi.edu","b4-a9-fc-6e-21-8c","172.16.2.203"
"WKS0716.marconi.edu","b4-a9-fc-6e-21-66","172.16.2.204"
"WKS0717.marconi.edu","b4-a9-fc-6e-28-88","172.16.2.205"
"WKS0718.marconi.edu","b4-a9-fc-6e-28-0b","172.16.2.206"
"WKS0719.marconi.edu","b4-a9-fc-67-26-05","172.16.2.207"
"WKS0720.marconi.edu","b4-a9-fc-67-29-26","172.16.2.208"
"WKS0722.marconi.edu","f8-75-a4-83-e5-9a","172.16.2.210"
"WKS0723.marconi.edu","b4-a9-fc-74-31-09","172.16.2.211"
"WKS0724.marconi.edu","b4-a9-fc-67-24-c6","172.16.2.212"
"WKS0725.marconi.edu","74-2b-62-f3-fe-af","172.16.2.213"
"WKS0007OLD.marconi.edu","90-1b-0e-91-4d-c6","172.16.2.214"
"WKS0728.marconi.edu","b4-a9-fc-74-31-15","172.16.2.216"
"WKS0730.marconi.edu","b4-a9-fc-74-32-a0","172.16.2.218"
"WKS0731.marconi.edu","b4-a9-fc-6e-28-90","172.16.2.219"
"WKS0732.marconi.edu","b4-a9-fc-6e-2d-29","172.16.2.220"
"WKS0733.marconi.edu","b4-a9-fc-6e-25-db","172.16.2.221"
"WKS0735.marconi.edu","b4-a9-fc-6e-25-d2","172.16.2.223"
"WKS0736.marconi.edu","b4-a9-fc-6e-2d-a2","172.16.2.224"
"WKS0737.marconi.edu","b4-a9-fc-6e-23-8c","172.16.2.225"
"WKS0739.marconi.edu","b4-a9-fc-6e-2d-0f","172.16.2.227"
"WKS0741.marconi.edu","b4-a9-fc-6e-25-ec","172.16.2.229"
"WKS0742.marconi.edu","b4-a9-fc-a6-af-2f","172.16.2.230"
"WKS0743.marconi.edu","b4-a9-fc-6e-27-c1","172.16.2.231"
"WKS0744.marconi.edu","b4-a9-fc-6e-2c-90","172.16.2.232"
"WKS0745.marconi.edu","b4-a9-fc-6e-25-cf","172.16.2.233"
"WKS0746.marconi.edu","b4-a9-fc-6e-24-3e","172.16.2.234"
"WKS0747.marconi.edu","b4-a9-fc-6e-26-c1","172.16.2.235"
"WKS0748.marconi.edu","b4-a9-fc-6e-24-63","172.16.2.236"
"WKS0749.marconi.edu","b4-a9-fc-6e-27-1c","172.16.2.237"
"WKS0750.marconi.edu","b4-a9-fc-6e-25-30","172.16.2.238"
"WKS0751.marconi.edu","b4-a9-fc-6e-26-5d","172.16.2.239"
"WKS0752.marconi.edu","b4-a9-fc-6e-24-4e","172.16.2.240"
"WKS0753.marconi.edu","b4-a9-fc-6e-21-54","172.16.2.241"
"WKS0754.marconi.edu","b4-a9-fc-6e-28-04","172.16.2.242"
"WKS0755.marconi.edu","b4-a9-fc-6e-24-37","172.16.2.243"
"WKS0756.marconi.edu","b4-a9-fc-6e-27-18","172.16.2.244"
"WKS0757.marconi.edu","b4-a9-fc-6e-23-1f","172.16.2.245"
"WKS0758.marconi.edu","b4-a9-fc-6e-27-31","172.16.2.246"
"WKS0759.marconi.edu","b4-a9-fc-6e-2b-77","172.16.2.247"
"WKS0760.marconi.edu","b4-a9-fc-6e-2c-e6","172.16.2.248"
"WKS0761.marconi.edu","b4-a9-fc-6e-2b-e6","172.16.2.249"
"WKS0762.marconi.edu","b4-a9-fc-6e-29-a5","172.16.2.250"
"WKS0763.marconi.edu","b4-a9-fc-6e-2d-18","172.16.2.251"
"WKS0764.marconi.edu","b4-a9-fc-6e-29-17","172.16.2.252"
"WKS0765.marconi.edu","b4-a9-fc-6e-2c-f8","172.16.2.253"
"WKS0770.marconi.edu","54-ee-75-f4-a9-3a","172.16.3.2"
"WKS0771.marconi.edu","54-ee-75-f4-ac-86","172.16.3.3"
"WKS0772.marconi.edu","a0-66-10-09-e2-99","172.16.3.4"
"WKS0773.marconi.edu","54-ee-75-f4-ac-22","172.16.3.5"
"WKS0774.marconi.edu","54-ee-75-f4-a9-34","172.16.3.6"
"WKS0775.marconi.edu","54-ee-75-f4-a9-c5","172.16.3.7"
"WKS0776.marconi.edu","54-ee-75-f4-ab-63","172.16.3.8"
"WKS0777.marconi.edu","74-2b-62-f4-2c-34","172.16.3.9"
"WKS0778.marconi.edu","90-1b-0e-b6-bd-e2","172.16.3.10"
"WKS0779.marconi.edu","a0-66-10-09-e0-19","172.16.3.11"
"WKS0780.marconi.edu","74-2b-62-f4-1d-e2","172.16.3.12"
"WKS0781.marconi.edu","74-2b-62-f3-fa-e5","172.16.3.13"
"WKS0782.marconi.edu","74-2b-62-f4-11-ca","172.16.3.14"
"WKS0785.marconi.edu","54-ee-75-dc-e4-b3","172.16.3.17"
"WKS0786.marconi.edu","54-ee-75-dd-2c-00","172.16.3.18"
"WKS0787.marconi.edu","54-ee-75-e9-c6-5c","172.16.3.19"
"WKS0788.marconi.edu","54-ee-75-dd-2d-36","172.16.3.20"
"WKS0789.marconi.edu","a0-66-10-09-e2-f5","172.16.3.21"
"WKS0790.marconi.edu","e0-18-77-c9-b3-a4","172.16.3.22"
"WKS0791.marconi.edu","e0-18-77-c9-b0-2d","172.16.3.23"
"WKS0793.marconi.edu","74-2b-62-ed-40-e6","172.16.3.25"
