"1610469720";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469721";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469722";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469723";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469724";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469789";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610469810";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1610473356";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611164464";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611164514";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611165279";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611227935";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611228054";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611299531";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611521492";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
"1611521582";"localhost";"Microsoft Windows 10 Home";"10.0.18363";"00325-81700-72857-AAOEM";"C:";"HP";"64 bit"
