PCname,User,Category,Type,CategoryString,EventCode,EventIdentifier,EventType,Logfile,RecordNumber,Date_local,Date_universal_microsecond
"localhost","None","0","Error","None","100","100","1","Application","79061","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79060","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79059","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79058","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79057","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79056","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79055","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79054","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79053","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79052","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79051","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79050","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79049","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79048","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79047","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79046","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79045","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79044","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79043","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79042","2020-12-12 20:43:54.948285","1607802234.948285"
